--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
373.245  000.096  000.096: require('blink.cmp.config.completion.list')
373.357  000.107  000.107: require('blink.cmp.config.completion.accept')
373.554  000.191  000.191: require('blink.cmp.config.completion.menu')
373.691  000.132  000.132: require('blink.cmp.config.completion.documentation')
373.789  000.092  000.092: require('blink.cmp.config.completion.ghost_text')
373.795  000.956  000.151: require('blink.cmp.config.completion')
373.933  000.131  000.131: require('blink.cmp.config.fuzzy')
374.065  000.127  000.127: require('blink.cmp.config.sources')
374.179  000.109  000.109: require('blink.cmp.config.signature')
374.299  000.115  000.115: require('blink.cmp.config.snippets')
374.418  000.114  000.114: require('blink.cmp.config.appearance')
374.511  000.088  000.088: require('blink.cmp.config.modes.cmdline')
374.605  000.089  000.089: require('blink.cmp.config.modes.term')
374.621  002.202  000.275: require('blink.cmp.config')
377.966  000.168  000.168: require('blink.cmp.config.modes.types')
379.048  000.150  000.150: require('blink.cmp.lib.async')
379.453  000.155  000.155: require('blink.cmp.lib.utils')
379.606  000.147  000.147: require('blink.cmp.fuzzy.download.system')
380.069  000.906  000.604: require('blink.cmp.fuzzy.download.files')
380.078  001.019  000.113: require('blink.cmp.fuzzy.download.git')
380.087  001.419  000.250: require('blink.cmp.fuzzy.download')
385.969  000.350  000.350: require('nnonne.plugins.treesitter')
388.254  000.845  000.845: require('nvim-treesitter')
388.443  000.158  000.158: require('nvim-treesitter.config')
388.921  000.183  000.183: require('nvim-treesitter.async')
389.045  000.116  000.116: require('nvim-treesitter.log')
390.382  001.331  001.331: require('nvim-treesitter.parsers')
390.495  000.105  000.105: require('nvim-treesitter.util')
390.533  002.019  000.284: require('nvim-treesitter.install')
393.677  003.131  003.131: require('nvim-treesitter.parsers')
395.544  000.181  000.181: require('nvim-treesitter-textobjects')
395.702  000.146  000.146: require('nvim-treesitter-textobjects.config')
395.972  000.100  000.100: require('nnonne.plugins.lazydev')
398.183  001.276  001.276: require('lazydev')
398.342  000.146  000.146: require('lazydev.config')
398.613  000.246  000.246: require('lazydev.util')
399.029  000.164  000.164: require('nnonne.plugins.lsp-manager')
399.036  000.346  000.182: require('nnonne.plugins.lsp')
402.979  000.107  000.107: require('blink.cmp.lib.event_emitter')
403.008  000.374  000.268: require('blink.cmp.sources.lib')
404.924  000.522  000.522: require('lspconfig.util')
413.996  000.107  000.107: require('import.pickers')
414.015  000.224  000.117: require('import.core.validate_config')
414.023  000.332  000.108: require('import.core.config')
414.207  000.085  000.085: require('import.core.create_picker')
414.432  000.093  000.093: require('import.language.regex')
414.455  000.242  000.149: require('import.language.languages')
