--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
082.774  001.964  000.653: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/nvim-treesitter/plugin/filetypes.lua
082.891  002.143  000.179: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
083.213  000.205  000.205: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
083.226  000.303  000.097: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
083.385  000.090  000.090: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/nvim-treesitter/plugin/query_predicates.lua
083.393  000.146  000.056: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
083.414  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
083.441  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
083.994  000.536  000.536: require('nvim-treesitter')
084.232  000.214  000.214: require('nvim-treesitter.config')
084.987  000.400  000.400: require('nvim-treesitter.async')
085.160  000.165  000.165: require('nvim-treesitter.log')
088.965  003.800  003.800: require('nvim-treesitter.parsers')
089.210  000.223  000.223: require('nvim-treesitter.util')
089.271  004.972  000.384: require('nvim-treesitter.install')
091.887  002.513  002.513: require('nvim-treesitter.parsers')
096.061  000.018  000.018: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
096.107  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
098.117  001.997  001.997: require('mini.pairs')
102.030  001.819  001.819: require('mini.icons')
102.539  000.356  000.356: require('mini.notify')
103.605  000.669  000.669: require('mini.extra')
103.835  000.213  000.213: require('mini.jump')
104.639  000.164  000.164: require('mini.bufremove')
105.353  000.686  000.686: require('mini.snippets')
106.960  001.259  001.259: require('vim.lsp.client')
107.605  000.100  000.100: require('vim.lsp._capability')
107.671  000.382  000.282: require('vim.lsp.semantic_tokens')
107.884  000.208  000.208: require('vim.lsp._folding_range')
108.409  000.382  000.382: require('vim.lsp._snippet_grammar')
108.434  000.543  000.161: require('vim.lsp.inline_completion')
108.891  000.453  000.453: require('vim.lsp.document_color')
109.091  000.185  000.185: require('vim.version')
113.893  000.782  000.782: require('mini.diff')
114.244  000.017  000.017: require('vim.F')
114.651  000.342  000.342: require('mini.hipatterns')
115.197  000.406  000.406: require('mini.indentscope')
116.225  000.771  000.771: require('mini.ai')
117.915  001.169  001.169: require('mini.bracketed')
121.401  001.264  001.264: require('mini.surround')
152.716  001.002  001.002: require('mini.pick')
153.282  000.182  000.182: require('vim.ui')
